Comment,Designator,Footprint,LCSC
"Battery_Cell","BT1","lib:BAT_1042_modified",""
"0.1u","C1,C10,C11","Capacitor_SMD:C_0402_1005Metric","C1525"
"2.2n","C12","Capacitor_SMD:C_0402_1005Metric","C1531"
"10u","C2,C3,C4,C5","Capacitor_SMD:C_0402_1005Metric","C15525"
"12p","C6,C7","Capacitor_SMD:C_0402_1005Metric","C1547"
"100n","C8","Capacitor_SMD:C_0402_1005Metric","C1525"
"10n","C9","Capacitor_SMD:C_0402_1005Metric","C15195"
"GREEN","D1","LED_SMD:LED_0402_1005Metric","C409787"
"RED","D2,D4","LED_SMD:LED_0402_1005Metric","C130719"
" B5819W SL","D3","SOD3716X135N","C8598"
"DW01A","IC1","SOT23-6","C351410"
"TYPE-C-31-M-12","J1","HRO_TYPE-C-31-M-12","C165948"
"FS8205A","Q1","SOP65P640X120-8N",""
"AO3401A","Q2","Package_TO_SOT_SMD:SOT-23","C332107"
"100","R1","Resistor_SMD:R_0402_1005Metric","C25076"
"1k","R2,R4,R5,R11","Resistor_SMD:R_0402_1005Metric","C11702"
"2k","R3","Resistor_SMD:R_0402_1005Metric","C4109"
"10k","R6,R12,R13","Resistor_SMD:R_0402_1005Metric","C25744"
"470k","R7,R8","Resistor_SMD:R_0402_1005Metric","C25790"
"5.1k","R9,R10","Resistor_SMD:R_0402_1005Metric","C25905"
"TestPoint","TP1,TP2,TP3,TP4,TP5","TestPoint:TestPoint_Pad_D1.5mm",""
"TP4056","U1","SOP127P600X175-9N","C382139"
"MPU-6050","U2","Sensor_Motion:InvenSense_QFN-24_4x4mm_P0.5mm","C24112"
"HT7330","U3","lib:SOT89","C347190"
"E73-2G4M08S1C","U4","lib:E73-2G4M08S1C-modified","C356849"
"SHT30-DIS","U5","Sensor_Humidity:Sensirion_DFN-8-1EP_2.5x2.5mm_P0.5mm_EP1.1x1.7mm","C2687423"
"32.768 kHz","Y1","XTAL_NX3215SA-32.768K-STD-MUA-14","C32346"